"","aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
"1"," ","개포래미안포레스트",2020," "," "," ","245,000",17,1,2021," "," ",74.66,7,"1282","N"," ",11680," ","개포동"
"2"," ","성원대치2단지아파트",1992," "," "," ","111,000",21,1,2021," "," ",33.18,12,"12","N"," ",11680," ","개포동"
"3"," ","쌍용플레티넘밸류",2007," "," "," ","149,000",29,1,2021," "," ",110.57,8,"826-37","N"," ",11680," ","역삼동"
"4"," ","개포우성1",1983," "," "," ","285,000",2,1,2021," "," ",84.81,12,"503","N"," ",11680," ","대치동"
"5"," ","개포주공7단지",1983," "," "," ","235,000",30,1,2021," "," ",73.26,1,"185","N"," ",11680," ","개포동"
"6"," ","강남데시앙포레",2014," "," "," ","182,000",18,1,2021," "," ",84.92,8,"795","N"," ",11680," ","수서동"
"7"," ","개포우성1",1983," ","21.04.26","O","285,000",2,1,2021," "," ",84.81,12,"503","N"," ",11680," ","대치동"
"8"," ","롯데캐슬모닝",2003," "," "," ","225,000",23,1,2021," "," ",150.78,4,"551-28","N"," ",11680," ","도곡동"
"9"," ","가람",1993," "," "," ","225,000",9,1,2021," "," ",84.95,4,"735","N"," ",11680," ","일원동"
"10"," ","강남엘에이치1단지",2013," "," "," ","140,000",28,1,2021," "," ",59.86,10,"579","N"," ",11680," ","세곡동"
"11"," ","래미안 개포 루체하임",2018," "," "," ","240,000",13,1,2021," "," ",71.68,24,"741","N"," ",11680," ","일원동"
"12"," ","신현대11차",1983," "," "," ","500,000",11,1,2021," "," ",183.41,5,"433","N"," ",11680," ","압구정동"
"13"," ","래미안블레스티지",2019," "," "," ","267,000",14,1,2021," "," ",84.943,6,"1280","N"," ",11680," ","개포동"
"14"," ","신현대9차",1982," "," "," ","305,000",20,1,2021," "," ",108.88,7,"426","N"," ",11680," ","압구정동"
"15"," ","미성1차",1982," "," "," ","430,000",30,1,2021," "," ",180.56,4,"414","N"," ",11680," ","압구정동"
"16"," ","현대10차(201,202동)",1982," "," "," ","280,000",2,1,2021," "," ",108.15,2,"436","N"," ",11680," ","압구정동"
"17"," ","마일스디오빌",2004," "," "," ","35,300",31,1,2021," "," ",36.29,10,"58-2","N"," ",11680," ","논현동"
"18"," ","삼성",1997," "," "," ","165,000",28,1,2021," "," ",84.97,2,"747","N"," ",11680," ","수서동"
"19"," ","동익",1993," "," "," ","168,000",30,1,2021," "," ",84.46,13,"738","N"," ",11680," ","수서동"
"20"," ","이스턴오피스텔",2014," "," "," ","19,000",29,1,2021," "," ",15.25,15,"735-15","N"," ",11680," ","역삼동"
"21"," ","로덴하우스이스트빌리지",2009," "," "," ","425,000",30,1,2021," "," ",243.36,10,"462-1","N"," ",11680," ","도곡동"
