mesh-id,category
D000602,"Amino Acids, Peptides, and Proteins"
D000925,Anticoagulants
D058833,Antithrombin Proteins
D000991,Antithrombins
A000000,Blood and Blood Forming Organs
D002317,Cardiovascular Agents
D004791,Enzyme Inhibitors
D050299,Fibrin Modulating Agents
D006401,Hematologic Agents
D010455,Peptides
D011480,Protease Inhibitors
D011506,Proteins
D015842,Serine Protease Inhibitors
D015843,Serpins
A000001,Thrombin Inhibitors
D000906,Antibodies
D000911,"Antibodies, Monoclonal"
D061067,"Antibodies, Monoclonal, Humanized"
D000970,Antineoplastic Agents
D000074322,"Antineoplastic Agents, Immunological"
A000002,Antineoplastic and Immunomodulating Agents
D001798,Blood Proteins
A000003,Cancer immunotherapy
A000004,EGFR (Epidermal Growth Factor Receptor) inhibitors
A000005,Epidermal Growth Factor Receptor Antagonist
D005916,Globulins
A000006,HER1 Antagonists
D007136,Immunoglobulins
D007162,Immunoproteins
D007167,Immunotherapy
A000007,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES
A000008,Narrow Therapeutic Index Drugs
D012712,Serum Globulins
A000009,Cough and Cold Preparations
A000010,Decreased Respiratory Secretion Viscosity
D003851,Deoxyribonucleases
D004706,Endodeoxyribonucleases
D004720,Endonucleases
D004798,Enzymes
D045762,Enzymes and Coenzymes
D004950,Esterases
D005100,Expectorants
D006867,Hydrolases
A000011,Recombinant Human Deoxyribonuclease 1
D036002,ADP Ribose Transferases
A000012,Antineoplastic and Immunomodulating Agents
D001427,Bacterial Toxins
D001685,Biological Factors
A000013,Cancer immunotherapy
A000014,CD25-directed Cytotoxin
D016207,Cytokines
D016695,Glycosyltransferases
D036341,Intercellular Signaling Peptides and Proteins
D007378,Interleukins
D008222,Lymphokines
A000015,Narrow Therapeutic Index Drugs
D010430,Pentosyltransferases
D011994,Recombinant Proteins
D014118,"Toxins, Biological"
D014166,Transferases
A000016,Agents reducing cytokine levels
D000893,Anti-Inflammatory Agents
D018501,Antirheumatic Agents
D001688,Biological Products
A000017,Biologics for Rheumatoid Arthritis Treatment
D003879,Dermatologicals
A000018,Disease-modifying Antirheumatic Agents
D007127,Immunoglobulin Constant Regions
D007141,Immunoglobulin Fc Fragments
D007128,Immunoglobulin Fragments
D007132,Immunoglobulin Isotypes
D007155,Immunologic Factors
D007166,Immunosuppressive Agents
D008565,Membrane Proteins
A000019,Tumor necrosis factor alpha (TNF-alpha) inhibitors
D000079424,Tumor Necrosis Factor Blockers
A000020,Blood and Blood Forming Organs
A000021,Thrombin Inhibitors
D000305,Adrenal Cortex Hormones
A000022,Agents Causing Muscle Toxicity
D018931,"Antineoplastic Agents, Hormonal"
A000023,Antineoplastic and Immunomodulating Agents
A000024,Drugs causing inadvertant photosensitivity
A000025,Drugs that are Mainly Renally Excreted
A000026,Endocrine Therapy
D005299,Fertility Agents
D005300,"Fertility Agents, Female"
A000027,Gonadotropin Releasing Hormone Receptor Agonist
A000028,Gonadotropin Releasing Hormone Receptor Agonists
D007987,Gonadotropin-releasing hormone agonist
D006062,Gonadotropins
A000029,Hormones and Related Agents
A000030,Hyperglycemia-Associated Agents
D007028,Hypothalamic Hormones
A000031,Moderate Risk QTc-Prolonging Agents
D009419,Nerve Tissue Proteins
D009479,Neuropeptides
D009842,Oligopeptides
D017319,Photosensitizing Agents
D010906,Pituitary Hormone-Releasing Hormones
A000032,QTc Prolonging Agents
D012102,Reproductive Control Agents
D000276,"Adjuvants, Immunologic"
D000438,Alcohols
A000033,Alfa Interferons
D000890,Anti-Infective Agents
A000034,Antineoplastic and Immunomodulating Agents
D000998,Antiviral Agents
A000035,Cardiotoxic antineoplastic agents
D020313,"Compounds used in a research, industrial, or household setting"
D065609,Cytochrome P-450 CYP1A2 Inhibitors
A000036,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
D065607,Cytochrome P-450 Enzyme Inhibitors
D004337,Drug Carriers
D005026,Ethylene Glycols
D006018,Glycols
A000037,Hepatotoxic Agents
A000038,Interferon alpha
D007370,Interferon Type I
D007372,Interferons
D046911,Macromolecular Substances
A000039,Myelosuppressive Agents
A000040,Narrow Therapeutic Index Drugs
A000041,Pegylated agents
D011108,Polymers
A000042,Treatments for Hepatitis C
A000043,Agents causing angioedema
A000044,Blood and Blood Forming Organs
D010450,Endopeptidases
D005343,Fibrinolytic Agents
A000045,Ophthalmologicals
D010447,Peptide Hydrolases
D010960,Plasminogen Activators
A000046,Sensory Organs
D012697,Serine Endopeptidases
D057057,Serine Proteases
D010959,Tissue Plasminogen Activator
A000047,"Tissue Plasminogen Activator, antagonists & inhibitors"
A000048,Anterior Pituitary Lobe Hormones and Analogues
A000049,Diagnostic Agents
D013007,Growth Hormone-Releasing Hormone
D006728,Hormones
D006730,"Hormones, Hormone Substitutes, and Hormone Antagonists"
D036361,Peptide Hormones
A000050,Pituitary and Hypothalamic Hormones and Analogues
A000051,Somatropin and Somatropin Agonists
A000052,"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins"
A000053,Tests for Pituitary Function
A000054,Antineoplastic and Immunomodulating Agents
A000055,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
A000056,Myelosuppressive Agents
A000057,Antianemic Preparations
A000058,Blood and Blood Forming Organs
D003115,Colony-Stimulating Factors
A000059,Erythropoiesis-Stimulating Agents
D006023,Glycoproteins
D006397,Hematinics
D016298,Hematopoietic Cell Growth Factors
A000060,Increased Erythroid Cell Production
A000061,Agents causing angioedema
A000062,Blood and Blood Forming Organs
A000063,Increased Thrombolysis
A000064,"Urokinase-Type Plasminogen Activator, antagonists & inhibitors"
A000065,Antineoplastic and Immunomodulating Agents
A000066,Drugs that are Mainly Renally Excreted
A000067,Endocrine Therapy
