drug,category
DB00001,D000602
DB00001,D000925
DB00001,D058833
DB00001,D000991
DB00001,A000000
DB00001,D002317
DB00001,D004791
DB00001,D050299
DB00001,D006401
DB00001,D010455
DB00001,D011480
DB00001,D011506
DB00001,D015842
DB00001,D015843
DB00001,A000001
DB00002,D000602
DB00002,D000906
DB00002,D000911
DB00002,D061067
DB00002,D000970
DB00002,D000074322
DB00002,A000002
DB00002,D001798
DB00002,A000003
DB00002,A000004
DB00002,A000005
DB00002,D005916
DB00002,A000006
DB00002,D007136
DB00002,D007162
DB00002,D007167
DB00002,A000007
DB00002,A000008
DB00002,D011506
DB00002,D012712
DB00003,D000602
DB00003,A000009
DB00003,A000010
DB00003,D003851
DB00003,D004706
DB00003,D004720
DB00003,D004798
DB00003,D045762
DB00003,D004950
DB00003,D005100
DB00003,D006867
DB00003,D011506
DB00003,A000011
DB00004,D036002
DB00004,D000602
DB00004,D000970
DB00004,A000012
DB00004,D001427
DB00004,D001685
DB00004,A000013
DB00004,A000014
DB00004,D016207
DB00004,D004798
DB00004,D045762
DB00004,D016695
DB00004,D007167
DB00004,D036341
DB00004,D007378
DB00004,D008222
DB00004,A000015
DB00004,D010430
DB00004,D010455
DB00004,D011506
DB00004,D011994
DB00004,D014118
DB00004,D014166
DB00005,A000016
DB00005,D000602
DB00005,D000893
DB00005,D000906
DB00005,D018501
DB00005,D001688
DB00005,A000017
DB00005,D003879
DB00005,A000018
DB00005,D007127
DB00005,D007141
DB00005,D007128
DB00005,D007132
DB00005,D007155
DB00005,D007162
DB00005,D007166
DB00005,D008565
DB00005,D010455
DB00005,D011506
DB00005,A000019
DB00005,D000079424
DB00006,D000602
DB00006,D000925
DB00006,D000991
DB00006,A000020
DB00006,D004791
DB00006,D006401
DB00006,D010455
DB00006,D011480
DB00006,D015842
DB00006,A000021
DB00007,D000305
DB00007,A000022
DB00007,D000602
DB00007,D000970
DB00007,D018931
DB00007,A000023
DB00007,A000024
DB00007,A000025
DB00007,A000026
DB00007,D005299
DB00007,D005300
DB00007,A000027
DB00007,A000028
DB00007,D007987
DB00007,D006062
DB00007,A000029
DB00007,A000030
DB00007,D007028
DB00007,A000031
DB00007,D009419
DB00007,D009479
DB00007,D009842
DB00007,D010455
DB00007,D017319
DB00007,D010906
DB00007,D011506
DB00007,A000032
DB00007,D012102
DB00008,D000276
DB00008,D000438
DB00008,A000033
DB00008,D000602
DB00008,D000890
DB00008,D000970
DB00008,A000034
DB00008,D000998
DB00008,D001685
DB00008,A000035
DB00008,D020313
DB00008,D065609
DB00008,A000036
DB00008,D065607
DB00008,D016207
DB00008,D004337
DB00008,D005026
DB00008,D006018
DB00008,A000037
DB00008,D007166
DB00008,D036341
DB00008,A000038
DB00008,D007370
DB00008,D007372
DB00008,D046911
DB00008,A000039
DB00008,A000040
DB00008,A000041
DB00008,D010455
DB00008,D011108
DB00008,D011506
DB00008,A000042
DB00009,A000043
DB00009,D000602
DB00009,D000925
DB00009,A000044
DB00009,D001798
DB00009,D002317
DB00009,D010450
DB00009,D004798
DB00009,D045762
DB00009,D050299
DB00009,D005343
DB00009,D006401
DB00009,D006867
DB00009,A000045
DB00009,D010447
DB00009,D010960
DB00009,D011506
DB00009,A000046
DB00009,D012697
DB00009,D057057
DB00009,D010959
DB00009,A000047
DB00010,D000602
DB00010,A000048
DB00010,A000049
DB00010,D013007
DB00010,D006728
DB00010,D006730
DB00010,D007028
DB00010,D009419
DB00010,D009479
DB00010,D036361
DB00010,D010455
DB00010,A000050
DB00010,D010906
DB00010,A000051
DB00010,A000052
DB00010,A000053
DB00011,D000276
DB00011,D000602
DB00011,A000054
DB00011,D000998
DB00011,D001685
DB00011,D065609
DB00011,A000055
DB00011,D065607
DB00011,D016207
DB00011,D007166
DB00011,D036341
DB00011,D007370
DB00011,D007372
DB00011,A000056
DB00011,D010455
DB00011,D011506
DB00012,D000602
DB00012,A000057
DB00012,A000058
DB00012,D003115
DB00012,A000059
DB00012,D006023
DB00012,D006397
DB00012,D006401
DB00012,D016298
DB00012,A000060
DB00012,D011506
DB00013,A000061
DB00013,D000602
DB00013,D000925
DB00013,D001685
DB00013,A000062
DB00013,D001798
DB00013,D010450
DB00013,D004798
DB00013,D045762
DB00013,D005343
DB00013,D006867
DB00013,A000063
DB00013,D010447
DB00013,D010960
DB00013,D011506
DB00013,D012697
DB00013,D057057
DB00013,A000064
DB00014,D000305
DB00014,D000602
DB00014,D000970
DB00014,D018931
DB00014,A000065
DB00014,A000066
DB00014,A000067
DB00014,A000068
DB00014,A000069
DB00014,D007987
DB00014,A000070
DB00014,D006728
DB00014,A000071
DB00014,D006730
DB00014,A000072
DB00014,D007028
DB00014,A000073
DB00014,A000074
DB00014,D009419
DB00014,D009479
DB00014,D009842
DB00014,D036361
DB00014,D010455
DB00014,D010906
DB00014,A000075
DB00015,A000076
DB00015,D000602
DB00015,D000925
DB00015,D001685
DB00015,A000077
DB00015,D001798
DB00015,D002317
DB00015,D010450
DB00015,D004798
DB00015,D045762
DB00015,D050299
DB00015,D005343
DB00015,D006401
DB00015,D006867
DB00015,D010447
DB00015,D010960
DB00015,D011506
DB00015,D012697
DB00015,D057057
DB00015,D010959
DB00016,D000602
DB00016,A000078
DB00016,D001685
DB00016,A000079
DB00016,D003115
DB00016,D016207
DB00016,A000080
DB00016,A000081
DB00016,D006023
DB00016,D006397
DB00016,D006401
DB00016,D016298
DB00016,A000082
DB00016,D036341
DB00016,D010455
DB00016,D011506
DB00017,D000602
DB00017,D050071
DB00017,A000083
DB00017,D002116
DB00017,A000084
DB00017,D000077264
DB00017,A000085
DB00017,D006728
DB00017,D006730
DB00017,D009419
DB00017,D009479
DB00017,A000086
DB00017,A000087
DB00017,D036361
DB00017,D010455
DB00017,D011506
DB00017,A000088
DB00017,D013972
DB00018,A000089
DB00018,D000602
DB00018,D001685
DB00018,D065609
DB00018,A000090
DB00018,D065607
DB00018,D016207
DB00018,D007166
DB00018,D036341
DB00018,A000091
DB00018,D007370
DB00018,D016898
DB00018,D007372
DB00018,A000092
DB00018,D010455
DB00018,D011506
DB00019,D000276
DB00019,D000438
DB00019,D000602
DB00019,A000093
DB00019,D001685
DB00019,D002241
DB00019,D003115
DB00019,D020313
DB00019,D016207
DB00019,D005026
DB00019,D006001
DB00019,D006018
DB00019,D006023
DB00019,D016179
DB00019,D006397
DB00019,D016298
DB00019,A000094
DB00019,D036341
DB00019,A000095
DB00019,D046911
DB00019,A000096
DB00019,D010455
DB00019,D011108
DB00019,D011506
DB00020,D000276
DB00020,D000602
DB00020,A000097
DB00020,D001685
DB00020,D003115
DB00020,D016207
DB00020,D006023
DB00020,D016178
DB00020,D016298
DB00020,D007155
DB00020,A000098
DB00020,D036341
DB00020,A000099
DB00020,D010455
DB00020,D011506
DB00022,D000276
DB00022,D000438
DB00022,A000100
DB00022,D000602
DB00022,D000890
DB00022,A000101
DB00022,D000998
DB00022,D001685
DB00022,A000102
DB00022,D020313
DB00022,D065609
DB00022,A000103
DB00022,D065698
DB00022,A000104
DB00022,D065690
DB00022,A000105
DB00022,D065693
DB00022,D065607
DB00022,D016207
DB00022,D004337
DB00022,D005026
DB00022,D006018
DB00022,D006526
DB00022,D007166
DB00022,D007167
DB00022,D036341
DB00022,A000106
DB00022,D007370
DB00022,D016898
DB00022,D007372
DB00022,D046911
DB00022,A000107
DB00022,A000108
DB00022,D010455
DB00022,D011108
DB00022,D011506
DB00022,A000109
DB00023,D000581
DB00023,D000970
DB00023,A000110
DB00023,D001215
DB00023,A000111
DB00023,D004798
DB00023,D045762
DB00023,D006867
DB00023,A000112
DB00023,A000113
DB00024,A000114
DB00024,A000115
DB00024,D006728
DB00024,D006730
DB00024,D036361
DB00024,A000116
DB00024,D010907
DB00024,D010908
DB00024,A000117
DB00024,D013972
DB00025,D000602
DB00025,D001685
DB00025,A000118
DB00025,D001779
DB00025,D001798
DB00025,D002241
DB00025,D004187
DB00025,D006467
DB00025,D006490
DB00025,A000119
DB00025,A000120
DB00025,D009844
DB00025,D011134
DB00025,D011498
DB00025,D011506
DB00026,A000121
DB00026,D000602
DB00026,A000122
DB00026,D018501
DB00026,D001685
DB00026,A000123
DB00026,D016207
DB00026,A000124
DB00026,D007166
DB00026,D007167
DB00026,D036341
DB00026,D000088902
DB00026,A000125
DB00026,D010455
DB00026,D011506
DB00027,D000602
DB00027,D000900
DB00027,D000890
DB00027,D000891
DB00027,D008565
DB00027,A000126
DB00027,A000127
DB00027,D010455
DB00027,D010456
DB00027,D052899
DB00027,D011506
DB00027,A000128
DB00028,D000602
DB00028,D000906
DB00028,A000129
DB00028,D001798
DB00028,D005916
DB00028,A000130
DB00028,D007074
DB00028,D007132
DB00028,D007136
DB00028,D007155
DB00028,D007162
DB00028,A000131
DB00028,D011506
DB00028,D044967
DB00028,D012712
DB00029,A000132
DB00029,D000602
DB00029,D000925
DB00029,A000133
DB00029,D001798
DB00029,D002317
DB00029,D010450
DB00029,D004798
DB00029,D045762
DB00029,D050299
DB00029,D005343
DB00029,D006401
DB00029,D006867
DB00029,D010447
DB00029,D010960
DB00029,D011506
DB00029,D012697
DB00029,D057057
DB00030,A000134
DB00030,D000602
DB00030,D007004
DB00030,D065694
DB00030,A000135
DB00030,D065693
DB00030,A000136
DB00030,D006728
DB00030,D006730
DB00030,A000137
DB00030,D007328
