drug,reference
DB00001,A1703
DB00001,A1705
DB00001,A1707
DB00001,A1709
DB00001,A1711
DB00001,L41539
DB00002,A9
DB00002,A227973
DB00002,A11
DB00002,A202103
DB00002,A1713
DB00002,A1715
DB00002,A13078
DB00002,A13079
DB00003,A12
DB00004,A1717
DB00004,A1719
DB00004,A1721
DB00004,A15
DB00004,A13080
DB00004,A13081
DB00004,A9
DB00004,A13082
DB00005,A1723
DB00005,A1725
DB00005,A1727
DB00005,A1729
DB00005,A1731
DB00005,A9
DB00005,A247970
DB00005,A11581
DB00005,A11583
DB00005,A11584
DB00005,L4237
DB00005,A202010
DB00005,A203909
DB00005,A13085
DB00005,A13086
DB00005,A13083
DB00005,A13087
DB00005,A13084
DB00006,A1733
DB00006,A1736
DB00006,A1738
DB00006,A1739
DB00006,A1741
DB00006,A9
DB00007,A1743
DB00007,A1746
DB00007,A1748
DB00007,A1750
DB00007,A1751
DB00007,L10310
DB00007,L13781
DB00007,L13784
DB00007,L13787
DB00007,L13790
DB00007,L13814
DB00008,A1754
DB00008,A1755
DB00008,A1758
DB00008,A9
DB00009,A6689
DB00009,A6691
DB00009,A252270
DB00009,L43125
DB00010,A1760
DB00010,A9
DB00011,A1713
DB00011,A1715
DB00011,A1762
DB00011,A1758
DB00011,A9
DB00012,A1764
DB00012,A1766
DB00012,A9
DB00013,A11586
DB00013,A11587
DB00013,A11588
DB00013,A11589
DB00013,A11590
DB00013,A9
DB00013,L12138
DB00013,A1769
DB00013,A1774
DB00013,A1776
DB00013,A1778
DB00013,A1780
DB00013,A1782
DB00013,A11592
DB00013,A11604
DB00013,A11605
DB00013,A11606
DB00013,A11599
DB00013,A11600
DB00013,A11601
DB00013,A11602
DB00013,A11603
DB00013,A13088
DB00013,A13089
DB00013,A13090
DB00013,A1713
DB00013,A1715
DB00013,A13092
DB00013,A5042
DB00013,A13093
DB00013,A13094
DB00013,A13095
DB00013,A13091
DB00014,A1713
DB00014,A1715
DB00014,A1784
DB00015,A6691
DB00015,A6689
DB00015,A6690
DB00015,A9
DB00016,A1764
DB00016,A1766
DB00016,A9
DB00017,A1786
DB00017,A1788
DB00017,A1790
DB00017,A9
DB00018,A1713
DB00018,A1715
DB00018,A1754
DB00018,A1758
DB00018,A9
DB00018,A1755
DB00019,A1792
DB00019,A1794
DB00019,A1797
DB00019,A1798
DB00019,A1800
DB00019,A1802
DB00020,A1804
DB00020,A1806
DB00020,A1808
DB00020,A1809
DB00020,A9
DB00020,A13104
DB00020,A13105
DB00020,A13106
DB00020,A1713
DB00020,A1715
DB00020,A13107
DB00020,A13108
DB00020,A13101
DB00020,A13102
DB00020,A13103
DB00022,A1713
DB00022,A1715
DB00022,A1754
DB00022,A1758
DB00022,A1755
DB00022,A9
DB00023,A1713
DB00023,A1715
DB00023,A6670
DB00023,A6671
DB00023,A6672
DB00024,A1812
DB00024,A1814
DB00024,A9
DB00025,A1816
DB00025,A1818
DB00025,A1820
DB00025,A1823
DB00025,A1824
DB00025,A13110
DB00025,A13111
DB00025,A13112
DB00025,A13113
DB00025,A13114
DB00025,A13157
DB00025,A13158
DB00025,A13159
DB00025,A13160
DB00025,A13161
DB00025,A13109
DB00025,A13115
DB00025,A13116
DB00025,A13117
DB00025,A13118
DB00025,A13119
DB00025,A13120
DB00025,A13121
DB00025,A13122
DB00025,A13123
DB00026,A1826
DB00026,A1828
DB00026,A1830
DB00026,A1832
DB00026,A9
DB00026,A1835
DB00026,A1837
