identifier,derived-from,resource
11916,DB00001,Drugs Product Database (DPD)
46507011,DB00001,PubChem Substance
D06880,DB00001,KEGG Drug
PA450195,DB00001,PharmGKB
P01050,DB00001,UniProtKB
DAP000541,DB00001,Therapeutic Targets Database
Lepirudin,DB00001,Wikipedia
CHEMBL1201666,DB00001,ChEMBL
237057,DB00001,RxCUI
13175,DB00002,Drugs Product Database (DPD)
46507042,DB00002,PubChem Substance
D03455,DB00002,KEGG Drug
J00228,DB00002,GenBank
PA10040,DB00002,PharmGKB
DNC000788,DB00002,Therapeutic Targets Database
Cetuximab,DB00002,Wikipedia
CHEMBL1201577,DB00002,ChEMBL
318341,DB00002,RxCUI
650,DB00003,Drugs Product Database (DPD)
46507792,DB00003,PubChem Substance
M55983,DB00003,GenBank
PA10318,DB00003,PharmGKB
P24855,DB00003,UniProtKB
DAP000981,DB00003,Therapeutic Targets Database
Dornase_alfa,DB00003,Wikipedia
CHEMBL1201431,DB00003,ChEMBL
337623,DB00003,RxCUI
46506950,DB00004,PubChem Substance
V01536,DB00004,GenBank
PA164750594,DB00004,PharmGKB
P00587,DB00004,UniProtKB
DAP001098,DB00004,Therapeutic Targets Database
Denileukin_diftitox,DB00004,Wikipedia
CHEMBL1201550,DB00004,ChEMBL
214470,DB00004,RxCUI
12032,DB00005,Drugs Product Database (DPD)
46506732,DB00005,PubChem Substance
C07897,DB00005,KEGG Compound
D00742,DB00005,KEGG Drug
M32315,DB00005,GenBank
PA449515,DB00005,PharmGKB
P20333,DB00005,UniProtKB
DNC000605,DB00005,Therapeutic Targets Database
Etanercept,DB00005,Wikipedia
CHEMBL1201572,DB00005,ChEMBL
214555,DB00005,RxCUI
12945,DB00006,Drugs Product Database (DPD)
59173,DB00006,ChEBI
16129704,DB00006,PubChem Compound
46507415,DB00006,PubChem Substance
D03136,DB00006,KEGG Drug
10482069,DB00006,ChemSpider
50248103,DB00006,BindingDB
PA10032,DB00006,PharmGKB
DAP000542,DB00006,Therapeutic Targets Database
Bivalirudin,DB00006,Wikipedia
CHEMBL2103749,DB00006,ChEMBL
60819,DB00006,RxCUI
1756,DB00007,Drugs Product Database (DPD)
23683,DB00007,Drugs Product Database (DPD)
6427,DB00007,ChEBI
46507635,DB00007,PubChem Substance
C07612,DB00007,KEGG Compound
D08113,DB00007,KEGG Drug
571356,DB00007,ChemSpider
50369395,DB00007,BindingDB
PA450203,DB00007,PharmGKB
DAP000020,DB00007,Therapeutic Targets Database
Leuprorelin,DB00007,Wikipedia
CHEMBL1201199,DB00007,ChEMBL
42375,DB00007,RxCUI
13246,DB00008,Drugs Product Database (DPD)
46504860,DB00008,PubChem Substance
J00207,DB00008,GenBank
PA164749390,DB00008,PharmGKB
P01563,DB00008,UniProtKB
DAP001278,DB00008,Therapeutic Targets Database
Peginterferon_alfa-2a,DB00008,Wikipedia
CHEMBL1201560,DB00008,ChEMBL
120608,DB00008,RxCUI
7297,DB00009,Drugs Product Database (DPD)
46507035,DB00009,PubChem Substance
D02837,DB00009,KEGG Drug
L00153,DB00009,GenBank
PA164776730,DB00009,PharmGKB
P00750,DB00009,UniProtKB
DAP000203,DB00009,Therapeutic Targets Database
Alteplase,DB00009,Wikipedia
CHEMBL1201593,DB00009,ChEMBL
8410,DB00009,RxCUI
46507399,DB00010,PubChem Substance
C08192,DB00010,KEGG Compound
PA164749110,DB00010,PharmGKB
DAP001055,DB00010,Therapeutic Targets Database
Sermorelin,DB00010,Wikipedia
56188,DB00010,RxCUI
7651,DB00011,Drugs Product Database (DPD)
46506227,DB00011,PubChem Substance
PA164746538,DB00011,PharmGKB
DAP001280,DB00011,Therapeutic Targets Database
CHEMBL2108509,DB00011,ChEMBL
202912,DB00011,RxCUI
12550,DB00012,Drugs Product Database (DPD)
46504480,DB00012,PubChem Substance
X02158,DB00012,GenBank
PA164743138,DB00012,PharmGKB
P01588,DB00012,UniProtKB
DAP000800,DB00012,Therapeutic Targets Database
Darbepoetin_alfa,DB00012,Wikipedia
CHEMBL1201566,DB00012,ChEMBL
283838,DB00012,RxCUI
2012,DB00013,Drugs Product Database (DPD)
46506299,DB00013,PubChem Substance
X02419,DB00013,GenBank
PA451836,DB00013,PharmGKB
P00749,DB00013,UniProtKB
DAP001194,DB00013,Therapeutic Targets Database
Urokinase,DB00013,Wikipedia
CHEMBL1201420,DB00013,ChEMBL
11055,DB00013,RxCUI
11167,DB00014,Drugs Product Database (DPD)
5523,DB00014,ChEBI
5311128,DB00014,PubChem Compound
46507336,DB00014,PubChem Substance
D00573,DB00014,KEGG Drug
4470656,DB00014,ChemSpider
PA164747674,DB00014,PharmGKB
DAP000023,DB00014,Therapeutic Targets Database
Goserelin,DB00014,Wikipedia
CHEMBL1201247,DB00014,ChEMBL
50610,DB00014,RxCUI
11534,DB00015,Drugs Product Database (DPD)
46506092,DB00015,PubChem Substance
PA164743728,DB00015,PharmGKB
DAP001195,DB00015,Therapeutic Targets Database
Reteplase,DB00015,Wikipedia
CHEMBL2107885,DB00015,ChEMBL
76895,DB00015,RxCUI
299,DB00016,Drugs Product Database (DPD)
46508122,DB00016,PubChem Substance
PA10072,DB00016,PharmGKB
DAP000202,DB00016,Therapeutic Targets Database
