id,derived-from,name,organism
BE0000048,Prothrombin,Humans
BE0000767,Epidermal growth factor receptor,Humans
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Humans
BE0002094,Complement C1q subcomponent subunit A,Humans
BE0002095,Complement C1q subcomponent subunit B,Humans
BE0002096,Complement C1q subcomponent subunit C,Humans
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Humans
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Humans
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Humans
BE0004796,DNA,Humans
BE0000658,Interleukin-2 receptor subunit alpha,Humans
BE0000651,Interleukin-2 receptor subunit beta,Humans
BE0002102,Cytokine receptor common subunit gamma,Humans
BE0000704,Tumor necrosis factor,Humans
BE0001087,Lymphotoxin-alpha,Humans
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Humans
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Humans
BE0009995,Complement component 1q (C1q),Humans
BE0000203,Gonadotropin-releasing hormone receptor,Humans
BE0000385,Interferon alpha/beta receptor 2,Humans
BE0000661,Interferon alpha/beta receptor 1,Humans
BE0000211,Plasminogen,Humans
BE0000538,Fibrinogen alpha chain,Humans
BE0002092,Fibrinogen gamma chain,Humans
BE0000240,Plasminogen activator inhibitor 1,Humans
BE0000625,Growth hormone-releasing hormone receptor,Humans
BE0000654,Erythropoietin receptor,Humans
BE0000717,Urokinase plasminogen activator surface receptor,Humans
BE0000969,Plasminogen activator inhibitor 2,Humans
BE0002112,Plasma serine protease inhibitor,Humans
BE0000942,Low-density lipoprotein receptor-related protein 2,Humans
BE0001656,Suppressor of tumorigenicity 14 protein,Humans
BE0002113,Nidogen-1,Humans
BE0000134,Lutropin-choriogonadotropic hormone receptor,Humans
BE0000431,Calcitonin receptor,Humans
BE0000793,Granulocyte colony-stimulating factor receptor,Humans
BE0000628,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,Humans
BE0001036,Interleukin-3 receptor subunit alpha,Humans
BE0002115,Cytokine receptor common subunit beta,Humans
BE0002116,Syndecan-2,Humans
BE0002114,Bone marrow proteoglycan,Humans
BE0004798,L-asparagine,Humans
BE0000490,Thyrotropin receptor,Humans
BE0000216,Coagulation factor X,Humans
BE0000364,Coagulation factor IX,Humans
BE0001043,von Willebrand factor,Humans
BE0002117,"Phytanoyl-CoA dioxygenase, peroxisomal",Humans
BE0002118,Asialoglycoprotein receptor 2,Humans
BE0001098,78 kDa glucose-regulated protein,Humans
BE0002109,Calreticulin,Humans
BE0001011,Calnexin,Humans
BE0002119,Protein ERGIC-53,Humans
BE0002110,Prolow-density lipoprotein receptor-related protein 1,Humans
BE0002120,Multiple coagulation factor deficiency protein 2,Humans
BE0000565,Interleukin-1 receptor type 1,Humans
BE0004684,High affinity immunoglobulin gamma Fc receptor IB,Humans
BE0003455,Complement C3,Humans
BE0004685,Complement C4-A,Humans
BE0004686,Complement C4-B,Humans
BE0000855,Complement C5,Humans
BE0000033,Insulin receptor,Humans
BE0000858,Insulin-like growth factor 1 receptor,Humans
BE0001123,Carboxypeptidase E,Humans
BE0001147,Protein NOV homolog,Humans
BE0002126,Insulin-like growth factor-binding protein 7,Humans
BE0002104,Tetranectin,Humans
BE0002105,"Keratin, type II cytoskeletal 8",Humans
BE0001170,Annexin A2,Humans
BE0000387,Follicle-stimulating hormone receptor,Humans
BE0000711,Interferon gamma receptor 1,Humans
BE0000467,Interferon gamma receptor 2,Humans
BE0000293,Vasopressin V2 receptor,Humans
BE0000165,Vasopressin V1a receptor,Humans
BE0000773,Vasopressin V1b receptor,Humans
BE0001178,Tissue factor,Humans
BE0000967,Tissue factor pathway inhibitor,Humans
BE0000403,Vitamin K-dependent gamma-carboxylase,Humans
BE0000333,Coagulation factor VII,Humans
BE0000416,Interleukin-11 receptor subunit alpha,Humans
BE0000748,Fibroblast growth factor receptor 2,Humans
BE0002131,Fibroblast growth factor receptor 1,Humans
BE0001031,Basement membrane-specific heparan sulfate proteoglycan core protein,Humans
BE0000527,Glucagon receptor,Humans
BE0002134,Glucagon-like peptide 2 receptor,Humans
BE0000857,Glucagon-like peptide 1 receptor,Humans
BE0002137,Vesicle-associated membrane protein 2,Humans
BE0002136,Vesicle-associated membrane protein 1,Humans
BE0002138,Synaptotagmin-2,Humans
BE0000015,High affinity immunoglobulin epsilon receptor subunit alpha,Humans
BE0002139,High affinity immunoglobulin epsilon receptor subunit beta,Humans
BE0001164,Toll-like receptor 2,Humans
BE0000025,Collagen alpha-1(I) chain,Humans
BE0002140,Collagen alpha-1(II) chain,Humans
BE0002130,Collagen alpha-1(III) chain,Humans
BE0004823,Uric acid,Humans
BE0000075,Growth hormone receptor,Humans
BE0000345,Prolactin receptor,Humans
BE0004806,Glucocerebroside,Humans
BE0001155,Integrin beta-3,Humans
BE0000439,Integrin alpha-IIb,Humans
BE0001068,Vitronectin,Humans
BE0000016,Coagulation factor VIII,Humans
BE0000041,Coagulation factor V,Humans
BE0001151,Thrombomodulin,Humans
BE0000943,Vitamin K-dependent protein S,Humans
BE0001129,Platelet factor 4,Humans
BE0002142,Serpin B6,Humans
BE0001161,Endothelial protein C receptor,Humans
BE0000674,Myeloid cell surface antigen CD33,Humans
BE0004842,Tumor-associated glycoprotein 72 (TAG-72),Humans
BE0000394,Neutrophil elastase,Humans
BE0004828,Adenosine,Humans
BE0000917,Growth factor receptor-bound protein 2,Humans
BE0009576,Nitric oxide,Humans
BE0009351,Voltage-dependent N-type calcium channel,Humans
BE0000844,Oxytocin receptor,Humans
BE0004821,Hyaluronan,Humans
BE0000984,Transforming growth factor beta-1,Humans
BE0000511,Receptor tyrosine-protein kinase erbB-2,Humans
BE0000066,B-lymphocyte antigen CD20,Humans
BE0003456,T-cell surface glycoprotein CD3 delta chain,Humans
BE0000274,T-cell surface glycoprotein CD3 epsilon chain,Humans
BE0003457,T-cell surface glycoprotein CD3 gamma chain,Humans
BE0003458,T-cell surface glycoprotein CD3 zeta chain,Humans
BE0004837,Digoxin,Humans
BE0010021,Cytoplasmic membrane,Bacteria
BE0000390,Synaptosomal-associated protein 25,Humans
BE0003572,Rho-related GTP-binding protein RhoB,Humans
BE0004834,Dietary fat,Humans
BE0004835,Dietary protein,Humans
BE0004836,Dietary starch,Humans
BE0000928,Proteinase-activated receptor 1,Humans
BE0000083,CAMPATH-1 antigen,Humans
BE0000568,Glutamate carboxypeptidase 2,Humans
BE0004822,Iduronic acid,Humans
BE0000379,Calcium signal-modulating cyclophilin ligand,Humans
BE0002143,Calcineurin subunit B type 2,Humans
BE0001014,Peptidyl-prolyl cis-trans isomerase A,Humans
BE0001399,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",Humans
BE0000719,T-cell surface antigen CD2,Humans
BE0009967,Integrin alpha-X,Humans
BE0000516,Integrin alpha-L,Humans
BE0003573,Major histocompatibility complex class I-related gene protein,Humans
BE0000846,T-lymphocyte activation antigen CD86,Humans
BE0003488,T-cell surface glycoprotein CD4,Humans
BE0003575,Integrin beta-1,Humans
BE0003576,Integrin alpha-V,Humans
BE0000598,T-cell surface glycoprotein CD1a,Humans
BE0001021,Coagulation factor XI,Humans
BE0000205,Platelet-derived growth factor receptor beta,Humans
BE0000852,Platelet-derived growth factor receptor alpha,Humans
BE0000910,Alpha-2-macroglobulin,Humans
BE0004830,Globotriaosylceramide,Humans
BE0010008,Somatostatin receptor,Humans
BE0000590,Integrin alpha-4,Humans
BE0001085,Intercellular adhesion molecule 1,Humans
BE0000398,Envelope glycoprotein,Human immunodeficiency virus 1
BE0000686,Fusion glycoprotein F0,Human respiratory syncytial virus B (strain 18537)
BE0002093,Complement C1r subcomponent,Humans
BE0000163,Vascular endothelial growth factor A,Humans
BE0000107,Carcinoembryonic antigen-related cell adhesion molecule 1,Humans
BE0000102,"Alanine--glyoxylate aminotransferase 2, mitochondrial",Humans
BE0000378,Glutamate decarboxylase 1,Humans
BE0000323,Cystathionine beta-synthase,Humans
BE0000392,Kynureninase,Humans
BE0000331,"Serine hydroxymethyltransferase, cytosolic",Humans
BE0000151,"Cysteine desulfurase, mitochondrial",Humans
BE0000529,"Aspartate aminotransferase, cytoplasmic",Humans
BE0000424,"Ornithine aminotransferase, mitochondrial",Humans
BE0000404,Ornithine decarboxylase,Humans
BE0000727,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",Humans
BE0000253,"4-aminobutyrate aminotransferase, mitochondrial",Humans
BE0000181,Pyridoxine-5'-phosphate oxidase,Humans
BE0000778,Sphingosine-1-phosphate lyase 1,Humans
BE0000692,Tyrosine aminotransferase,Humans
BE0000273,Kynurenine--oxoglutarate transaminase 1,Humans
BE0000007,"Glycogen phosphorylase, liver form",Humans
BE0000660,Serine palmitoyltransferase 2,Humans
BE0000079,Cysteine sulfinic acid decarboxylase,Humans
BE0000002,Histidine decarboxylase,Humans
BE0000448,Arginine decarboxylase,Humans
BE0000164,L-serine dehydratase/L-threonine deaminase,Humans
BE0000518,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",Humans
BE0000618,"Glycine dehydrogenase [decarboxylating], mitochondrial",Humans
BE0000667,Alanine aminotransferase 1,Humans
BE0000603,Phosphoserine aminotransferase,Humans
BE0000409,"5-aminolevulinate synthase, nonspecific, mitochondrial",Humans
BE0000316,Serine--pyruvate aminotransferase,Humans
BE0000278,Pyridoxal phosphate phosphatase,Humans
BE0000441,Serine palmitoyltransferase 1,Humans
BE0000791,Cystathionine gamma-lyase,Humans
BE0000517,"Branched-chain-amino-acid aminotransferase, cytosolic",Humans
BE0000721,"Branched-chain-amino-acid aminotransferase, mitochondrial",Humans
BE0002149,Proline synthase co-transcribed bacterial homolog protein,Humans
BE0000383,"Aspartate aminotransferase, mitochondrial",Humans
BE0002150,"Glycogen phosphorylase, brain form",Humans
BE0000916,"Glycogen phosphorylase, muscle form",Humans
BE0002151,Aromatic-L-amino-acid decarboxylase,Humans
BE0002152,Aspartate aminotransferase,Humans
BE0002154,Serine hydroxymethyltransferase,Humans
BE0002155,Selenocysteine lyase variant,Humans
BE0002156,Phosphorylase,Humans
BE0002158,5-aminolevulinate synthase,Humans
BE0002159,"Glutamate decarboxylase 2 (Pancreatic islets and brain, 65kDa)",Humans
BE0002160,DDC protein,Humans
BE0002162,Kynurenine--oxoglutarate transaminase 3,Humans
BE0002163,Glutamate decarboxylase-like protein 1,Humans
BE0004605,Selenocysteine lyase,Humans
BE0004612,Immunoglobulin superfamily member 10,Humans
BE0002164,5-phosphohydroxy-L-lysine phospho-lyase,Humans
BE0002165,"Glutamate decarboxylase 1 (Brain, 67kDa)",Humans
BE0000292,"Serine hydroxymethyltransferase, mitochondrial",Humans
BE0000898,"5-aminolevulinate synthase, erythroid-specific, mitochondrial",Humans
BE0002166,Alanine aminotransferase 2,Humans
BE0002167,Molybdenum cofactor sulfurase,Humans
BE0002168,Serine dehydratase-like,Humans
BE0002170,Hepatic peroxysomal alanine:glyoxylate aminotransferase,Humans
BE0000388,Serine racemase,Humans
BE0002171,O-phosphoseryl-tRNA(Sec) selenium transferase,Humans
BE0002172,Serine palmitoyltransferase 3,Humans
BE0002173,Glutamic acid decarboxylase,Humans
BE0002174,Alanine-glyoxylate aminotransferase homolog,Humans
BE0000734,Methionine synthase,Humans
BE0000777,"Methylmalonyl-CoA mutase, mitochondrial",Humans
BE0000763,Methionine synthase reductase,Humans
BE0000320,"Methylmalonic aciduria type A protein, mitochondrial",Humans
BE0002175,Methylmalonic aciduria and homocystinuria type C protein,Humans
BE0002176,Methylenetetrahydrofolate reductase,Humans
BE0000617,"C-1-tetrahydrofolate synthase, cytoplasmic",Humans
BE0000268,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",Humans
BE0000010,"Aminomethyltransferase, mitochondrial",Humans
BE0000933,Cytosolic 10-formyltetrahydrofolate dehydrogenase,Humans
BE0000822,Formimidoyltransferase-cyclodeaminase,Humans
BE0001240,Bifunctional purine biosynthesis protein PURH,Humans
BE0002177,"Methionyl-tRNA formyltransferase, mitochondrial",Humans
